Planta,Explicacion
Ligustrum,Arbusto o árbol pequeño con hojas perennes y ovaladas de color verde oscuro. Produce racimos de flores pequeñas y perfumadas
Cafeto,"Planta tropical de hojas rugosas y ovaladas, conocida por producir los granos de café. Sus frutos rojos o púrpuras, llamados cerezas, contienen las semillas utilizadas para hacer café."
Menta,"Planta herbácea perenne con hojas rugosas y un aroma refrescante. Es popular en usos culinarios, medicinales y en la preparación de bebidas."
Consuelda,"Planta herbácea perenne con hojas vellosas, utilizada tradicionalmente en medicina natural para tratar heridas y problemas de piel."
Lantana,Arbusto tropical de hojas lisas y ovaladas que produce flores en colores variados. Es conocida por su resistencia y por atraer polinizadores como mariposas.
Gaillardia,"Planta ornamental con flores vistosas de colores cálidos y variados, preferida para jardines por su resistencia al calor y su atractivo para abejas y mariposas."
Aloe Vera,Planta suculenta conocida por sus propiedades medicinales. Se utiliza para tratar quemaduras y en productos cosméticos.
Basil,"Hierba aromática utilizada en cocina, especialmente en la gastronomía mediterránea. Sus hojas tienen un sabor fuerte y fragante."
Lavender,"Planta aromática que se cultiva por su fragancia, utilizada en aromaterapia y cosmética. Sus flores son moradas y atraen a las abejas."
Mint,"Planta perenne de hojas fragantes, comúnmente utilizada en infusiones, helados y como condimento en diversas cocinas."
Rosemary,"Hierba aromática con hojas de color verde oscuro, usada en cocina por su sabor fuerte, especialmente en platos de carne."
Thyme,"Planta pequeña y aromática, con hojas verdes, utilizada en la cocina para dar sabor a sopas, guisos y carnes."
Sage,Planta herbácea que se usa en cocina por su sabor terroso. También tiene aplicaciones medicinales y en aromaterapia.
Oregano,"Hierba con hojas verdes y aroma fuerte, esencial en la cocina mediterránea y utilizada para hacer infusiones medicinales."
Chamomile,Planta que se usa en infusiones por sus propiedades relajantes. Sus flores son pequeñas y blancas con centros amarillos.
Parsley,"Hierba de hojas verdes, muy utilizada en cocina, especialmente en guarniciones y salsas. También tiene propiedades medicinales."
Dill,"Planta con hojas finas y aromáticas, utilizada en cocina, especialmente en encurtidos y sopas."
Cilantro,"Planta cuyo sabor varía entre fresco y picante, utilizada en diversas cocinas, especialmente en platos latinos y asiáticos."
Peppermint,"Planta aromática conocida por su sabor refrescante, comúnmente usada en tés y como saborizante en productos de repostería."
Lemongrass,"Planta con un fuerte aroma a limón, utilizada en cocina asiática y en infusiones por sus propiedades digestivas."
Chives,"Planta que pertenece a la familia de las cebollas, utilizada en cocina como condimento. Tiene un sabor suave y se usa en ensaladas y sopas."
Fennel,"Planta de sabor anisado, utilizada tanto en cocina como en medicina natural por sus propiedades digestivas."
Tarragon,"Planta perenne de hojas largas, con un sabor similar al del anís, utilizada en la cocina francesa y en salsas."
Marjoram,"Planta aromática de hojas suaves y dulces, usada en cocina mediterránea, especialmente en sopas y guisos."
Bay Laurel,"Árbol de hojas perennes utilizadas en la cocina, especialmente en guisos y sopas. También tiene usos en aromaterapia."
Stevia,"Planta utilizada como edulcorante natural. Sus hojas tienen un sabor dulce sin calorías, ideal para personas con diabetes."
Eucalyptus,"Árbol conocido por su aceite esencial, utilizado en medicina tradicional por sus propiedades antisépticas y descongestionantes."
Catnip,Planta que atrae a los gatos debido a sus efectos psicoactivos. También se usa en infusiones por sus propiedades relajantes.
Hyssop,"Planta aromática que se utiliza en medicina tradicional, especialmente para problemas respiratorios y digestivos."
Spearmint,"Variedad de menta con un sabor más suave, utilizada en tés, chicles y productos para aliviar problemas digestivos."
Hibiscus,"Planta ornamental que produce flores grandes y coloridas, comúnmente utilizada en infusiones refrescantes y como planta decorativa."
Jasmine,"Planta trepadora famosa por sus flores fragantes, utilizada en perfumería y como planta ornamental en jardines."
Sunflower,"Flor alta y robusta, conocida por sus grandes flores amarillas que siguen al sol. Es cultivada tanto por sus semillas como por su belleza ornamental."
Dandelion,"Planta comúnmente considerada una maleza, con flores amarillas brillantes y hojas dentadas. Se utiliza en medicina herbal."
Marigold,"Flor de colores brillantes, comúnmente utilizada en jardinería por su resistencia y sus propiedades repelentes de insectos."
Pansy,"Planta con flores coloridas y duraderas, popular en jardines y macetas, especialmente en climas fríos."
Primrose,"Flor que florece a principios de la primavera, conocida por sus colores vibrantes y su resistencia al frío."
Foxglove,"Planta alta con flores en forma de campana, utilizadas en jardinería ornamental. Sus flores son atractivas pero pueden ser venenosas."
Yarrow,"Planta perenne con flores pequeñas que forman ramilletes. Es apreciada por sus propiedades medicinales, especialmente para heridas."
Snapdragon,Planta ornamental con flores que se abren al apretar sus costados. Común en jardines de primavera y verano.
Begonia,Planta decorativa que se cultiva principalmente por sus coloridas flores y sus hojas ornamentales. Ideal para interiores y exteriores sombreados.
Petunia,"Flor que crece en climas cálidos, con colores brillantes y una forma característica. Muy común en jardines y balcones."
Zinnia,"Planta de flores grandes y coloridas, utilizada en jardines y arreglos florales. Crece fácilmente en suelos bien drenados."
Aster,"Flor de otoño que produce ramilletes de flores pequeñas y coloridas, común en jardines por su durabilidad."
Azalea,Planta ornamental popular por sus flores grandes y coloridas. Prefiere suelos ácidos y se cultiva principalmente en jardines.
